vectorized_elementwise_kernel,elementwise_kernel,reduce_kernel,unrolled_elementwise_kernel,index_elementwise_kernel
0,0.61,0,0,9.72
0,53.84,0,0,2.57
0,0.62,0,0,9.72
0,53.39,9.99,0,2.7
0,0.7,9.95,0,9.72
0,53.52,0,0,2.27
0,0.69,60.69,0,9.72
0,53.52,60.71,0,2.48
0,0.64,60.59,0,9.72
0,53.25,37.12,0,2.39
0,0.7,0,0,9.72
0,53.35,0,0,2.73
0,0.7,0,0,9.72
0,53.56,9.89,0,2.57
0,0.66,9.89,0,9.72
0,53.32,0,0,2.57
0,0.67,60.59,0,9.72
0,53.57,60.68,0,2.3
0,0.66,60.64,0,9.72
0,53.24,37.13,0,2.4
0,0.64,0,0,9.72
0,53.37,0,0,2.18
0,0.67,0,0,9.72
0,53.15,9.97,0,2.52
0,0.7,9.84,0,9.72
0,53.5,0,0,2.57
0,0.67,60.39,0,9.72
0,53.34,60.65,0,2.67
0,0.67,60.67,0,9.72
0,53.15,37.14,0,2.43
0,0.67,0,0,9.72
0,53.54,0,0,2.33
0,0.57,0,0,9.72
0,53.31,9.96,0,2.27
0,0.7,9.87,0,9.72
0,53.17,0,0,2.47
0,0.67,60.51,0,9.72
0,53.6,60.44,0,2.71
0,0.63,60.79,0,9.72
0,53.35,37.13,0,2.78
0,0.6,0,0,9.72
0,53.28,0,0,2.47
0,0.62,0,0,9.72
0,53.3,10.02,0,2.51
0,0.63,9.96,0,9.72
0,53.3,0,0,2.25
0,0.7,60.6,0,9.72
0,53.54,60.87,0,2.42
0,0.68,60.47,0,9.72
0,53.45,37.14,0,2.55
0,0.68,0,0,9.72
0,53.17,0,0,2.54
0,0.74,0,0,9.72
0,53.23,9.95,0,2.42
0,0.72,9.91,0,9.72
0,53.46,0,0,2.35
0,0.67,60.55,0,9.72
0,53.27,60.6,0,2.47
0,0.7,60.62,0,9.72
0,53.37,37.14,0,2.53
0,0.69,0,0,9.72
0,53.26,0,0,2.22
0,0.64,0,0,9.72
0,53.13,9.81,0,2.44
0,0.64,9.95,0,9.72
0,53.31,0,0,2.4
0,0.66,60.47,0,9.72
0,53.5,60.69,0,2.33
0,0.71,60.76,0,9.72
0,53.35,37.16,0,2.36
0,0.66,0,0,9.72
0,53.31,0,0,2.6
0,0.68,0,0,9.72
0,53.84,9.94,0,2.53
0,0.68,9.91,0,9.72
0,53.34,0,0,2.57
0,0.65,60.56,0,9.72
0,53.42,60.64,0,2.45
0,0.62,60.85,0,9.72
0,53.43,37.14,0,2.49
0,0.69,0,0,9.72
0,53.4,0,0,2.46
0,0.64,0,0,9.72
0,53.45,9.96,0,2.37
0,0.64,10,0,9.72
0,53.41,0,0,2.48
0,0.7,60.47,0,9.72
0,53.1,60.57,0,2.43
0,0.66,60.82,0,9.72
0,53.38,37.13,0,2.69
0,0.72,0,0,9.72
0,53.39,0,0,2.33
0,0.58,0,0,9.72
0,53.42,9.93,0,2.47
0,0.66,9.94,0,9.72
0,53.7,0,0,2.58
0,0.65,60.49,0,9.72
0,53.64,60.67,0,2.44
0,0.66,60.72,0,9.72
0,53.39,37.13,0,2.55
0,0.64,0,0,9.72
0,53.53,0,0,2.39
0,0.67,0,0,9.72
0,53.32,9.99,0,2.57
0,0.68,9.98,0,9.72
0,53.43,0,0,2.48
0,0.61,60.81,0,9.72
0,53.26,60.56,0,2.37
0,0.67,60.72,0,9.72
0,53.45,37.14,0,2.49
0,0.62,0,0,9.72
0,53.22,0,0,2.64
0,0.6,0,0,9.72
0,53.42,10.01,0,2.64
0,0.63,9.93,0,9.72
0,53.7,0,0,2.48
0,0.67,60.55,0,9.72
0,53.14,60.67,0,2.49
0,0.67,60.8,0,9.72
0,53.1,37.14,0,2.38
0,0.68,0,0,9.72
0,53.89,0,0,2.36
0,0.61,0,0,9.72
0,53.3,9.99,0,2.31
0,0.66,9.94,0,9.72
0,53.17,0,0,2.6
0,0.67,60.31,0,9.72
0,53.37,60.87,0,2.24
0,0.67,60.73,0,9.72
0,53.33,37.14,0,2.51
0,0.6,0,0,9.72
0,53.47,0,0,2.5
0,0.66,0,0,9.72
0,53.48,9.9,0,2.27
0,0.68,9.85,0,9.72
0,53.16,0,0,2.72
0,0.66,60.41,0,9.72
